"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","285","test_schedule_interview","tests.api","Sat May 23 21:58:34 UTC 2026","passed","Sat May 23 21:58:35 UTC 2026","TestAuthUniversity","test_auth","",""
"P0: POST /api/v1/courses/{id}/reviews — submit review.","305","test_post_course_review_new","tests.api","Sat May 23 22:01:12 UTC 2026","failed","Sat May 23 22:01:12 UTC 2026","TestCoursesNewEndpoints","test_courses","",""
"P1: GET /v1/evaluations/admin/99999 → 404.","307","test_p1_get_eval_admin_nonexistent","tests.api","Sat May 23 22:11:49 UTC 2026","passed","Sat May 23 22:11:49 UTC 2026","TestQuizNewEndpointsP1","test_quiz","",""
"","351","test_healthz","tests.api","Sat May 23 22:00:37 UTC 2026","passed","Sat May 23 22:00:38 UTC 2026","TestCoursesHealth","test_courses","",""
"","347","test_p1_update_course_no_auth","tests.api","Sat May 23 22:00:41 UTC 2026","passed","Sat May 23 22:00:42 UTC 2026","TestCoursesCRUDP1","test_courses","",""
"P0: GET /api/v1/it-journey/recommendations/{session_id}.","292","test_get_it_journey_recommendations","tests.api","Sat May 23 22:01:51 UTC 2026","passed","Sat May 23 22:01:51 UTC 2026","TestJobsITJourney","test_jobs_endpoints","",""
"P1: Generate PDF for lifecycle assessment.","695","test_generate_pdf_result_lifecycle","tests.api","Sat May 23 21:59:43 UTC 2026","passed","Sat May 23 21:59:43 UTC 2026","TestAuthAssessmentLifecycle","test_auth","",""
"","304","test_healthz","tests.api","Sat May 23 22:10:59 UTC 2026","passed","Sat May 23 22:11:00 UTC 2026","TestQuizAPIs","test_quiz","",""
"","346","test_p1_groups_no_auth","tests.api","Sat May 23 22:00:11 UTC 2026","passed","Sat May 23 22:00:11 UTC 2026","TestAuthNewP1","test_auth","",""
"","308","test_p1_update_coding_question_nonexistent","tests.api","Sat May 23 22:11:33 UTC 2026","passed","Sat May 23 22:11:33 UTC 2026","TestQuizP1","test_quiz","",""
"","306","test_p1_update_note_nonexistent","tests.api","Sat May 23 22:01:03 UTC 2026","passed","Sat May 23 22:01:03 UTC 2026","TestCoursesNotesP1","test_courses","",""
"POST /auth/universities/my/pending-invites/accept for user without permission.","304","test_p1_accept_invite_without_permission","tests.api","Sat May 23 21:58:38 UTC 2026","passed","Sat May 23 21:58:39 UTC 2026","TestAuthUniversityP1","test_auth","",""
"","304","test_p1_coding_generate_question_empty","tests.api","Sat May 23 22:11:29 UTC 2026","passed","Sat May 23 22:11:29 UTC 2026","TestQuizP1","test_quiz","",""
"P1: POST /api/v1/resumes/builder/parse with empty → 422.","283","test_p1_builder_parse_empty","tests.api","Sat May 23 22:12:15 UTC 2026","passed","Sat May 23 22:12:15 UTC 2026","TestResumeNewEndpointsP1","test_resumes","",""
